review,label,sentiment
Best product I have used,Genuine,Positive
Superb performance and design,Genuine,Positive
Worst product ever do not buy,Fake,Negative
Bad product and slow delivery,Fake,Negative
Very unhappy with this purchase,Fake,Negative
Very unhappy with this purchase,Fake,Negative
Completely useless and disappointing,Fake,Negative
Poor quality and very cheap material,Fake,Negative
Worth every penny,Genuine,Positive
Highly recommend this product,Genuine,Positive
Very bad quality and waste of money,Fake,Negative
Terrible experience not recommended,Fake,Negative
Worst product ever do not buy,Fake,Negative
Very satisfied with this purchase,Genuine,Positive
Worth every penny,Genuine,Positive
Great value for money,Genuine,Positive
Product broke after one use,Fake,Negative
Very unhappy with this purchase,Fake,Negative
Terrible experience not recommended,Fake,Negative
Great value for money,Genuine,Positive
Very satisfied with this purchase,Genuine,Positive
Bad product and slow delivery,Fake,Negative
Superb performance and design,Genuine,Positive
Very unhappy with this purchase,Fake,Negative
Best product I have used,Genuine,Positive
Very unhappy with this purchase,Fake,Negative
Very good quality and reliable,Genuine,Positive
Very satisfied with this purchase,Genuine,Positive
Best product I have used,Genuine,Positive
Product broke after one use,Fake,Negative
Great value for money,Genuine,Positive
Highly recommend this product,Genuine,Positive
Worth every penny,Genuine,Positive
Worth every penny,Genuine,Positive
Best product I have used,Genuine,Positive
Completely useless and disappointing,Fake,Negative
Worst product ever do not buy,Fake,Negative
Not worth the price at all,Fake,Negative
Highly recommend this product,Genuine,Positive
Best product I have used,Genuine,Positive
Worth every penny,Genuine,Positive
Worth every penny,Genuine,Positive
Completely useless and disappointing,Fake,Negative
Excellent quality and fast delivery,Genuine,Positive
Very satisfied with this purchase,Genuine,Positive
Best product I have used,Genuine,Positive
Best product I have used,Genuine,Positive
Worst product ever do not buy,Fake,Negative
Very good quality and reliable,Genuine,Positive
Fake product and misleading,Fake,Negative
Best product I have used,Genuine,Positive
Not worth the price at all,Fake,Negative
Completely useless and disappointing,Fake,Negative
Very bad quality and waste of money,Fake,Negative
Very unhappy with this purchase,Fake,Negative
"Loved it, will buy again",Genuine,Positive
Very good quality and reliable,Genuine,Positive
Excellent quality and fast delivery,Genuine,Positive
Not worth the price at all,Fake,Negative
"Loved it, will buy again",Genuine,Positive
Product broke after one use,Fake,Negative
Poor quality and very cheap material,Fake,Negative
